Name,Year,Salaries,Rank
Adam Harrington,2000,,599
Anthony Goldwire,2000,,600
Mike Wilks,2000,,601
Guy Rucker,2000,,602
Devin Brown,2000,,603
Paul Shirley,2000,,604
LeBron James,2000,,605
Darko Milicic,2000,,606
Carmelo Anthony,2000,,607
Chris Bosh,2000,,608
Dwyane Wade,2000,,609
Chris Kaman,2000,,610
Kirk Hinrich,2000,,611
TJ Ford,2000,,612
Mike Sweetney,2000,,613
Jarvis Hayes,2000,,614
Nick Collison,2000,,615
Mickael Pietrus,2000,,616
Marcus Banks,2000,,617
Luke Ridnour,2000,,618
Reece Gaines,2000,,619
Troy Bell,2000,,620
Zarko Cabarkapa,2000,,621
David West,2000,,622
Aleksandar Pavlovic,2000,,623
Dahntay Jones,2000,,624
Boris Diaw,2000,,625
Zoran Planinic,2000,,626
Travis Outlaw,2000,,627
Brian Cook,2000,,628
Ndudi Ebi,2000,,629
Maciej Lampe,2000,,630
Kendrick Perkins,2000,,631
Leandro Barbosa,2000,,632
Josh Howard,2000,,633
Oliver Miller,2000,,634
Travis Hansen,2000,,635
Brandon Hunter,2000,,636
Linton Johnson,2000,,637
Jason Kapono,2000,,638
Jon Stefansson,2000,,639
Marquis Daniels,2000,,640
Francisco Elson,2000,,641
James Jones,2000,,642
Josh Moore,2000,,643
Luke Walton,2000,,644
Theron Smith,2000,,645
Jerome Beasley,2000,,646
Udonis Haslem,2000,,647
Keith McLeod,2000,,648
Richie Frahm,2000,,649
Keith Bogans,2000,,650
Zaza Pachulia,2000,,651
Kyle Korver,2000,,652
Willie Green,2000,,653
Darius Songaila,2000,,654
Alex Garcia,2000,,655
Ben Handlogten,2000,,656
Maurice Williams,2000,,657
Steve Blake,2000,,658
Paul Grant,2000,,659
Matt Carroll,2000,,660
Kaniel Dickens,2000,,661
Ben Davis,2000,,662
Slavko Vranes,2000,,663
Shane Heal,2000,,664
Britton Johnsen,2000,,665
Dwight Howard,2000,,666
Emeka Okafor,2000,,667
Ben Gordon,2000,,668
Shaun Livingston,2000,,669
Devin Harris,2000,,670
Andres Nocioni,2000,,671
Josh Childress,2000,,672
Luol Deng,2000,,673
Rafael Araujo,2000,,674
Andre Iguodala,2000,,675
Luke Jackson,2000,,676
Andris Biedrins,2000,,677
Robert Swift,2000,,678
Ibo Kutluay,2000,,679
Sebastian Telfair,2000,,680
Kris Humphries,2000,,681
Al Jefferson,2000,,682
Kirk Snyder,2000,,683
Josh Smith,2000,,684
JR Smith,2000,,685
Dorell Wright,2000,,686
Jameer Nelson,2000,,687
Pavel Podkolzin,2000,,688
Viktor Khryapa,2000,,689
Delonte West,2000,,690
Nenad Krstic,2000,,691
Tony Allen,2000,,692
Carlos Delfino,2000,,693
Kevin Martin,2000,,694
Sasha Vujacic,2000,,695
Beno Udrih,2000,,696
David Harrison,2000,,697
Didier Ilunga-Mbenga,2000,,698
Anderson Varejao,2000,,699
Eddie Gill,2000,,700
Matt Barnes,2000,,701
Tommy Smith,2000,,702
Ronald Dupree,2000,,703
Quinton Ross,2000,,704
Josh Davis,2000,,705
Peter John Ramos,2000,,706
Lionel Chalmers,2000,,707
Donta Smith,2000,,708
Royal Ivey,2000,,709
Justin Reed,2000,,710
Bernard Robinson,2000,,711
Chris Duhon,2000,,712
Jared Reiner,2000,,713
Arthur Johnson,2000,,714
Horace Jenkins,2000,,715
Luis Flores,2000,,716
Andre Barrett,2000,,717
John Edwards,2000,,718
Andre Emmett,2000,,719
Antonio Burks,2000,,720
Trevor Ariza,2000,,721
Damien Wilkins,2000,,722
Mario Kasun,2000,,723
Jackson Vroman,2000,,724
Erik Daniels,2000,,725
Romain Sato,2000,,726
Matt Bonner,2000,,727
Pape Sow,2000,,728
Matt Freije,2000,,729
Corsley Edwards,2000,,730
Tony Bobbitt,2000,,731
Yuta Tabuse,2000,,732
Awvee Storey,2000,,733
Geno Carlisle,2000,,734
Andrew Bogut,2000,,735
Sarunas Jasikevicius,2000,,736
Marvin Williams,2000,,737
Deron Williams,2000,,738
Chris Paul,2000,,739
Raymond Felton,2000,,740
Martell Webster,2000,,741
Arvydas Macijauskas,2000,,742
Charlie Villanueva,2000,,743
Fabricio Oberto,2000,,744
Jose Calderon,2000,,745
Channing Frye,2000,,746
Ike Diogu,2000,,747
Andrew Bynum,2000,,748
Yaroslav Korolev,2000,,749
Sean May,2000,,750
Rashad McCants,2000,,751
Antoine Wright,2000,,752
Joey Graham,2000,,753
Danny Granger,2000,,754
Gerald Green,2000,,755
Hakim Warrick,2000,,756
Julius Hodge,2000,,757
Nate Robinson,2000,,758
Jarrett Jack,2000,,759
Sergey Monya,2000,,760
Francisco Garcia,2000,,761
Luther Head,2000,,762
Johan Petro,2000,,763
Jason Maxiell,2000,,764
Linas Kleiza,2000,,765
Wayne Simien,2000,,766
David Lee,2000,,767
Salim Stoudamire,2000,,768
Ha Seung-Jin,2000,,769
James Singleton,2000,,770
Daniel Ewing,2000,,771
Louis Williams,2000,,772
Monta Ellis,2000,,773
Ryan Gomes,2000,,774
Chris Taft,2000,,775
Esteban Batista,2000,,776
Orien Greene,2000,,777
Alan Anderson,2000,,778
Kevin Burleson,2000,,779
Eddie Basden,2000,,780
Martynas Andriuskevicius,2000,,781
Josh Powell,2000,,782
Rawle Marshall,2000,,783
Alex Acker,2000,,784
Amir Johnson,2000,,785
Boniface N'Dong,2000,,786
Von Wafer,2000,,787
Devin Green,2000,,788
Anthony Roberson,2000,,789
Lawrence Roberts,2000,,790
Earl Barron,2000,,791
Ersan Ilyasova,2000,,792
Bracey Wright,2000,,793
Dwayne Jones,2000,,794
Brandon Bass,2000,,795
Jackie Butler,2000,,796
Travis Diener,2000,,797
Shavlik Randolph,2000,,798
Dijon Thompson,2000,,799
Ronnie Price,2000,,800
CJ Miles,2000,,801
Robert Whaley,2000,,802
Andre Owens,2000,,803
Andray Blatche,2000,,804
Donell Taylor,2000,,805
Gerald Fitch,2000,,806
John Thomas,2000,,807
Aaron Miles,2000,,808
Sean Banks,2000,,809
James Thomas,2000,,810
Sharrod Ford,2000,,811
Deng Gai,2000,,812
Randy Holcomb,2000,,813
Stephen Graham,2000,,814
Matt Walsh,2000,,815
John Lucas,2000,,816
Alex Scales,2000,,817
Melvin Sanders,2000,,818
Andrea Bargnani,2000,,819
Anthony Parker,2000,,820
LaMarcus Aldridge,2000,,821
Jorge Garbajosa,2000,,822
Adam Morrison,2000,,823
Tyrus Thomas,2000,,824
Shelden Williams,2000,,825
Brandon Roy,2000,,826
Randy Foye,2000,,827
Rudy Gay,2000,,828
Patrick O'Bryant,2000,,829
Saer Sene,2000,,830
JJ Redick,2000,,831
Walter Herrmann,2000,,832
Vassilis Spanoulis,2000,,833
Hilton Armstrong,2000,,834
Thabo Sefolosha,2000,,835
Ronnie Brewer,2000,,836
Cedric Simmons,2000,,837
Rodney Carney,2000,,838
Shawne Williams,2000,,839
Quincy Douby,2000,,840
Renaldo Balkman,2000,,841
Rajon Rondo,2000,,842
Marcus Williams,2000,,843
Josh Boone,2000,,844
Kyle Lowry,2000,,845
Shannon Brown,2000,,846
Jordan Farmar,2000,,847
Sergio Rodriguez,2000,,848
Maurice Ager,2000,,849
Mardy Collins,2000,,850
James White,2000,,851
Mickael Gelabale,2000,,852
Mile Ilic,2000,,853
James Lang,2000,,854
Ime Udoka,2000,,855
Solomon Jones,2000,,856
Chuck Hayes,2000,,857
Ronny Turiaf,2000,,858
Lynn Greer,2000,,859
Paul Millsap,2000,,860
Steve Novak,2000,,861
Leon Powe,2000,,862
Cedric Bozeman,2000,,863
