Rank;Player;Age;Tm;First;Pts Won;Pts Max;Share;G;MP;PTS;TRB;AST;STL;BLK;FG%;3P%;FT%;WS;WS/48;Year
3;Anfernee Hardaway;24;ORL;2;360;1130;319;82;36.8;21.7;4.3;7.1;2;0.5;513;314;767;14.4;229;1996
4;Hakeem Olajuwon;33;HOU;1;238;1130;211;72;38.8;26.9;10.9;3.6;1.6;2.9;514;214;724;9.7;166;1996
5;Scottie Pippen;30;CHI;0;226;1130;0.2;77;36.7;19.4;6.4;5.9;1.7;0.7;463;374;679;12.3;209;1996
6;Gary Payton;27;SEA;0;98;1130;87;81;39;19.3;4.2;7.5;2.9;0.2;484;328;748;11.5;174;1996
7;Karl Malone;32;UTA;1;85;1130;75;82;38;25.7;9.8;4.2;1.7;0.7;519;0.4;723;15.1;233;1996
8;Shawn Kemp;26;SEA;0;73;1130;65;79;33.3;19.6;11.4;2.2;1.2;1.6;561;417;742;11.2;205;1996
9T;Grant Hill;23;DET;0;63;1130;56;80;40.8;20.2;9.8;6.9;1.3;0.6;462;192;751;11.7;172;1996
9T;Shaquille O'Neal;23;ORL;0;63;1130;56;54;36;26.6;11;2.9;0.6;2.1;573;0.5;487;6.9;171;1996
11;John Stockton;33;UTA;0;12;1130;11;82;35.5;14.7;2.8;11.2;1.7;0.2;538;422;0.83;13;214;1996
12T;Charles Barkley;32;PHO;0;8;1130;7;71;37.1;23.2;11.6;3.7;1.6;0.8;0.5;0.28;777;10.5;191;1996
12T;Magic Johnson;36;LAL;0;8;1130;7;32;29.9;14.6;5.7;6.9;0.8;0.4;466;379;856;3.6;181;1996
14;Alonzo Mourning;25;MIA;0;6;1130;5;70;38.2;23.2;10.4;2.3;1;2.7;523;0.3;685;9.9;178;1996
15;Dennis Rodman;34;CHI;0;4;1130;4;64;32.6;5.5;14.9;2.5;0.6;0.4;0.48;111;528;6.2;143;1996
16T;Terrell Brandon;25;CLE;0;3;1130;3;75;34.3;19.3;3.3;6.5;1.8;0.4;465;387;887;12.7;237;1996
16T;Mitch Richmond;30;SAC;0;3;1130;3;81;36.4;23.1;3.3;3.1;1.5;0.2;447;437;866;9.3;151;1996
1;Karl Malone;33;UTA;63;986;1150;857;82;36.6;27.4;9.9;4.5;1.4;0.6;0.55;0;755;16.7;268;1997
2;Michael Jordan;33;CHI;52;957;1150;832;82;37.9;29.6;5.9;4.3;1.7;0.5;486;374;833;18.3;283;1997
3;Grant Hill;24;DET;0;376;1150;327;80;39.3;21.4;9;7.3;1.8;0.6;496;303;711;14.6;223;1997
4;Tim Hardaway;30;MIA;0;238;1150;207;81;38.7;20.3;3.4;8.6;1.9;0.1;415;344;799;12.9;198;1997
5;Glen Rice;29;CHH;0;134;1150;117;79;42.6;26.8;4;2;0.9;0.3;477;0.47;867;10.8;154;1997
6;Gary Payton;28;SEA;0;105;1150;91;82;39.2;21.8;4.6;7.1;2.4;0.2;476;313;715;12.9;193;1997
7;Hakeem Olajuwon;34;HOU;0;95;1150;83;78;36.6;23.2;9.2;3;1.5;2.2;0.51;313;787;9.1;154;1997
8;Patrick Ewing;34;NYK;0;57;1150;0.05;78;37;22.4;10.7;2;0.9;2.4;488;222;754;9.8;163;1997
9T;Anthony Mason;30;CHH;0;7;1150;6;73;43.1;16.2;11.4;5.7;1;0.5;525;333;745;11.4;173;1997
9T;Shaquille O'Neal;24;LAL;0;7;1150;6;51;38.1;26.2;12.5;3.1;0.9;2.9;557;0;484;8;197;1997
11;Scottie Pippen;31;CHI;0;6;1150;5;82;37.7;20.2;6.5;5.7;1.9;0.5;474;368;701;13.1;203;1997
12;Alonzo Mourning;26;MIA;0;5;1150;4;66;35.2;19.8;9.9;1.6;0.8;2.9;534;111;642;8.4;174;1997
13T;Dikembe Mutombo;30;ATL;0;4;1150;3;80;37.2;13.3;11.6;1.4;0.6;3.3;527;0;705;11.3;183;1997
13T;Mitch Richmond;31;SAC;0;4;1150;3;81;38.6;25.9;3.9;4.2;1.5;0.3;454;428;861;10.8;166;1997
15;John Stockton;34;UTA;0;3;1150;3;82;35.3;14.4;2.8;10.5;2;0.2;548;422;846;13.6;226;1997
16;Charles Barkley;33;HOU;0;2;1150;2;53;37.9;19.2;13.5;4.7;1.3;0.5;484;283;694;9.4;224;1997
17T;Tom Gugliotta;27;MIN;0;1;1150;1;81;38.7;20.6;8.7;4.1;1.6;1.1;442;258;0.82;6.7;103;1997
17T;Allen Iverson;21;PHI;0;1;1150;1;76;40.1;23.5;4.1;7.5;2.1;0.3;416;341;702;4.1;65;1997
17T;Kevin Johnson;30;PHO;0;1;1150;1;70;38;20.1;3.6;9.3;1.5;0.2;496;441;852;11.7;211;1997
17T;Steve Smith;27;ATL;0;1;1150;1;72;39.1;20.1;3.3;4.2;0.9;0.3;429;335;847;9.1;154;1997
1;Michael Jordan;34;CHI;92;1084;1160;934;82;38.8;28.7;5.8;3.5;1.7;0.5;465;238;784;15.8;238;1998
2;Karl Malone;34;UTA;20;842;1160;726;81;37.4;27;10.3;3.9;1.2;0.9;0.53;333;761;16.4;259;1998
3;Gary Payton;29;SEA;3;431;1160;372;82;38.4;19.2;4.6;8.3;2.3;0.2;453;338;744;12.5;0.19;1998
4;Shaquille O'Neal;25;LAL;1;311;1160;268;60;36.3;28.3;11.4;2.4;0.7;2.4;584;0;527;10.2;224;1998
5;Tim Duncan;21;SAS;0;148;1160;128;82;39.1;21.1;11.9;2.7;0.7;2.5;549;0;662;12.8;192;1998
6;Tim Hardaway;31;MIA;0;71;1160;61;81;37.4;18.9;3.7;8.3;1.7;0.2;431;351;781;11.7;185;1998
7;David Robinson;32;SAS;0;36;1160;31;73;33.7;21.6;10.6;2.7;0.9;2.6;511;0.25;735;13.8;269;1998
8;Vin Baker;26;SEA;0;24;1160;21;82;35.9;19.2;8;1.9;1.1;1;542;143;591;10.4;169;1998
9;Grant Hill;25;DET;0;23;1160;0.02;81;40.7;21.1;7.7;6.8;1.8;0.7;452;143;0.74;10.2;149;1998
10;Scottie Pippen;32;CHI;0;14;1160;12;44;37.5;19.1;5.2;5.8;1.8;1;447;318;777;6.6;193;1998
11;Glen Rice;30;CHH;0;7;1160;6;82;40.2;22.3;4.3;2.2;0.9;0.3;457;433;849;9.3;136;1998
12;Antoine Walker;21;BOS;0;6;1160;5;82;39.9;22.4;10.2;3.3;1.7;0.7;423;312;645;4.7;0.07;1998
13T;Jason Kidd;24;PHO;0;5;1160;4;82;38;11.6;6.2;9.1;2;0.3;416;313;799;8;123;1998
13T;John Stockton;35;UTA;0;5;1160;4;64;29;12;2.6;8.5;1.4;0.2;528;429;827;8;206;1998
15;Mitch Richmond;32;SAC;0;3;1160;3;70;36.7;23.2;3.3;4;1.3;0.2;445;389;864;7.9;148;1998
16T;Reggie Miller;32;IND;0;2;1160;2;81;34.5;19.5;2.9;2.1;1;0.1;477;429;868;12;206;1998
16T;Rik Smits;31;IND;0;2;1160;2;73;28.6;16.7;6.9;1.4;0.5;1.2;495;0;783;6.1;141;1998
18T;Michael Finley;24;DAL;0;1;1160;1;82;41.4;21.5;5.3;4.9;1.6;0.4;449;357;784;7.5;106;1998
18T;Rod Strickland;31;WAS;0;1;1160;1;76;39.7;17.8;5.3;10.5;1.7;0.3;434;0.25;726;8.1;129;1998
1;Karl Malone;35;UTA;44;827;1180;701;49;37.4;23.8;9.4;4.1;1.3;0.6;493;0;788;9.6;252;1999
2;Alonzo Mourning;28;MIA;36;773;1180;655;46;38.1;20.1;11;1.6;0.7;3.9;511;0;652;7.9;216;1999
3;Tim Duncan;22;SAS;30;740;1180;627;50;39.3;21.7;11.4;2.4;0.9;2.5;495;143;0.69;8.7;213;1999
4;Allen Iverson;23;PHI;5;319;1180;0.27;48;41.5;26.8;4.9;4.6;2.3;0.1;412;291;751;7.2;173;1999
5;Jason Kidd;25;PHO;2;159;1180;135;50;41.2;16.9;6.8;10.8;2.3;0.4;444;366;757;8.1;188;1999
6;Shaquille O'Neal;26;LAL;1;89;1180;75;49;34.8;26.3;10.7;2.3;0.7;1.7;576;0;0.54;9;255;1999
7;Chris Webber;25;SAC;0;51;1180;43;42;40.9;20;13;4.1;1.4;2.1;486;118;454;3.6;102;1999
8;Grant Hill;26;DET;0;39;1180;33;50;37;21.1;7.1;6;1.6;0.5;479;0;752;7.3;189;1999
9;Gary Payton;30;SEA;0;35;1180;0.03;50;40.2;21.7;4.9;8.7;2.2;0.2;434;295;721;7.2;172;1999
10;Kevin Garnett;22;MIN;0;9;1180;8;47;37.9;20.8;10.4;4.3;1.7;1.8;0.46;286;704;5.4;146;1999
11;Shawn Kemp;29;CLE;0;7;1180;6;42;35.1;20.5;9.2;2.4;1.1;1.1;482;0.5;789;6.3;205;1999
12;David Robinson;33;SAS;0;6;1180;5;49;31.7;15.8;10;2.1;1.4;2.4;509;0;658;8.4;261;1999
13T;Hakeem Olajuwon;36;HOU;0;3;1180;3;50;35.7;18.9;9.6;1.8;1.6;2.5;514;308;717;6.5;175;1999
13T;Arvydas Sabonis;34;POR;0;3;1180;3;50;27;12.1;7.9;2.4;0.7;1.3;485;292;771;5.8;207;1999
15;Darrell Armstrong;30;ORL;0;2;1180;2;50;30;13.8;3.6;6.7;2.2;0.1;441;365;904;6.4;205;1999
16T;Vince Carter;22;TOR;0;1;1180;1;50;35.2;18.3;5.7;3;1.1;1.5;0.45;288;761;5;136;1999
16T;Anfernee Hardaway;27;ORL;0;1;1180;1;50;38.9;15.8;5.7;5.3;2.2;0.5;0.42;286;706;5;122;1999
16T;Mark Jackson;33;IND;0;1;1180;1;49;28.2;7.6;3.8;7.9;0.9;0.1;419;311;823;3.8;134;1999
16T;Glenn Robinson;26;MIL;0;1;1180;1;47;33.6;18.4;5.9;2.1;1;0.9;459;392;0.87;4;122;1999
16T;Steve Smith;29;ATL;0;1;1180;1;36;36.5;18.7;4.2;3.3;1;0.3;402;338;849;4.4;162;1999
16T;Rasheed Wallace;24;POR;0;1;1180;1;49;28.9;12.8;4.9;1.2;1;1.1;508;419;732;5;169;1999
1;Shaquille O'Neal;27;LAL;120;1207;1210;998;79;40;29.7;13.6;3.8;0.5;3;574;0;524;18.6;283;2000
2;Kevin Garnett;23;MIN;0;408;1210;337;81;40;22.9;11.8;5;1.5;1.6;497;0.37;765;11.6;172;2000
3;Alonzo Mourning;29;MIA;0;367;1210;303;79;34.8;21.7;9.5;1.6;0.5;3.7;551;0;711;12.9;226;2000
4;Karl Malone;36;UTA;0;312;1210;258;82;35.9;25.5;9.5;3.7;1;0.9;509;0.25;797;15.3;249;2000
5;Tim Duncan;23;SAS;0;248;1210;205;74;38.9;23.2;12.4;3.2;0.9;2.2;0.49;91;761;13;218;2000
6;Gary Payton;31;SEA;0;180;1210;149;82;41.8;24.2;6.5;8.9;1.9;0.2;448;0.34;735;13.9;195;2000
7;Allen Iverson;24;PHI;1;132;1210;109;70;40.8;28.4;3.8;4.7;2.1;0.1;421;341;713;6.9;116;2000
8;Grant Hill;27;DET;0;113;1210;93;74;37.5;25.8;6.6;5.2;1.4;0.6;489;347;795;10.7;185;2000
9;Chris Webber;26;SAC;0;96;1210;79;75;38.4;24.5;10.5;4.6;1.6;1.7;483;284;751;10.7;179;2000
10;Vince Carter;23;TOR;0;51;1210;42;82;38.1;25.7;5.8;3.9;1.3;1.1;465;403;791;11.8;182;2000
11;Jason Kidd;26;PHO;0;25;1210;21;67;39;14.3;7.2;10.1;2;0.4;409;337;829;8.5;156;2000
12;Kobe Bryant;21;LAL;0;3;1210;2;66;38.2;22.5;6.3;4.9;1.6;0.9;468;319;821;10.6;202;2000
13T;Darrell Armstrong;31;ORL;0;1;1210;1;82;31.6;16.2;3.3;6.1;2.1;0.1;433;0.34;911;8;149;2000
13T;Michael Finley;26;DAL;0;1;1210;1;82;42.2;22.6;6.3;5.3;1.3;0.4;457;401;0.82;8.3;114;2000
13T;Reggie Miller;34;IND;0;1;1210;1;81;36.9;18.1;3;2.3;1;0.3;448;408;919;10.1;162;2000
13T;Jalen Rose;27;IND;0;1;1210;1;80;37.2;18.2;4.8;4;1.1;0.6;471;393;827;7.3;118;2000
1;Allen Iverson;25;PHI;93;1121;1240;904;71;42;31.1;3.8;4.6;2.5;0.3;0.42;0.32;814;11.8;0.19;2001
2;Tim Duncan;24;SAS;18;706;1240;569;82;38.7;22.2;12.2;3;0.9;2.3;499;259;618;13.2;0.2;2001
3;Shaquille O'Neal;28;LAL;7;578;1240;466;74;39.5;28.7;12.7;3.7;0.6;2.8;572;0;513;14.9;245;2001
4;Chris Webber;27;SAC;5;521;1240;0.42;70;40.5;27.1;11.1;4.2;1.3;1.7;481;71;703;11;186;2001
5;Kevin Garnett;24;MIN;1;151;1240;122;81;39.5;22;11.4;5;1.4;1.8;477;288;764;11.8;176;2001
6;Tracy McGrady;21;ORL;0;64;1240;52;77;40.1;26.8;7.5;4.6;1.5;1.5;457;355;733;12.2;189;2001
7;Karl Malone;37;UTA;0;21;1240;17;81;35.7;23.2;8.3;4.5;1.1;0.8;498;0.4;793;13.1;217;2001
8;Jason Kidd;27;PHO;0;18;1240;15;77;39.8;16.9;6.4;9.8;2.2;0.3;411;297;814;9.6;0.15;2001
9;Kobe Bryant;22;LAL;0;11;1240;9;68;40.9;28.5;5.9;5;1.7;0.6;464;305;853;11.3;196;2001
10;David Robinson;35;SAS;0;8;1240;6;80;29.6;14.4;8.6;1.5;1;2.5;486;0;747;12.1;246;2001
11T;Ray Allen;25;MIL;0;7;1240;6;82;38.2;22;5.2;4.6;1.5;0.2;0.48;433;888;13.7;211;2001
11T;Vince Carter;24;TOR;0;7;1240;6;75;39.7;27.6;5.5;3.9;1.5;1.1;0.46;408;765;12.9;208;2001
13;Paul Pierce;23;BOS;0;5;1240;4;82;38;25.3;6.4;3.1;1.7;0.8;454;383;745;10.4;0.16;2001
14;Jerry Stackhouse;26;DET;0;3;1240;2;80;40.2;29.8;3.9;5.1;1.2;0.7;402;351;822;9.2;137;2001
15T;Michael Finley;27;DAL;0;1;1240;1;82;42;21.5;5.2;4.4;1.4;0.4;458;346;775;8.5;119;2001
15T;Anthony Mason;34;MIA;0;1;1240;1;80;40.7;16.1;9.6;3.1;1;0.3;482;0;781;11.6;171;2001
15T;John Stockton;38;UTA;0;1;1240;1;82;29.2;11.5;2.8;8.7;1.6;0.3;504;462;817;10.8;216;2001
1;Tim Duncan;25;SAS;57;954;1260;757;82;40.6;25.5;12.7;3.7;0.7;2.5;508;0.1;799;17.8;257;2002
2;Jason Kidd;28;NJN;45;897;1260;712;82;37.3;14.7;7.3;9.9;2.1;0.2;391;321;814;8.9;0.14;2002
3;Shaquille O'Neal;29;LAL;15;696;1260;552;67;36.1;27.2;10.7;3;0.6;2;579;0;555;13.2;262;2002
4;Tracy McGrady;22;ORL;7;390;1260;0.31;76;38.3;25.6;7.9;5.3;1.6;1;451;364;748;11.5;189;2002
5;Kobe Bryant;23;LAL;1;98;1260;78;80;38.3;25.2;5.5;5.5;1.5;0.4;469;0.25;829;12.7;199;2002
6;Gary Payton;33;SEA;1;54;1260;43;82;40.3;22.1;4.8;9;1.6;0.3;467;314;797;12.6;183;2002
7;Chris Webber;28;SAC;0;37;1260;29;54;38.4;24.5;10.1;4.8;1.7;1.4;495;263;749;8.6;0.2;2002
8;Dirk Nowitzki;23;DAL;0;31;1260;25;76;38;23.4;9.9;2.4;1.1;1;477;397;853;13.4;222;2002
9;Allen Iverson;26;PHI;0;29;1260;23;60;43.7;31.4;4.5;5.5;2.8;0.2;398;291;812;6.9;126;2002
10;Ben Wallace;27;DET;0;24;1260;19;80;36.5;7.6;13;1.4;1.7;3.5;531;0;423;11.6;0.19;2002
11;Paul Pierce;24;BOS;0;22;1260;17;82;40.3;26.1;6.9;3.2;1.9;1;442;404;809;12.9;187;2002
12;Kevin Garnett;25;MIN;0;17;1260;13;81;39.2;21.2;12.1;5.2;1.2;1.6;0.47;319;801;12.8;194;2002
13;Michael Jordan;38;WAS;0;16;1260;13;60;34.9;22.9;5.7;5.2;1.4;0.4;416;189;0.79;3.3;75;2002
14;Steve Nash;27;DAL;0;5;1260;4;82;34.6;17.9;3.1;7.7;0.6;0;483;455;887;9.9;167;2002
15;Jerry Stackhouse;27;DET;0;3;1260;2;76;35.3;21.4;4.1;5.3;1;0.5;397;287;858;5.8;104;2002
